user_id,ip_address,device_fingerprint,geo_location,session_duration_min,amount,currency,login_status,kyc_status,page_views,is_anomaly,anomaly_type,event_id,timestamp,event_type
user_0438,85.214.33.12,b9e5aa427662,Germany,11.6,0.0,USD,success,,3,1,unusual_time_login,PE_003472,2025-01-01 02:13:27.000000,login
user_0438,85.214.33.12,b9e5aa427662,Germany,0.0,0.0,USD,,pending,0,1,unusual_time_login,PE_003475,2025-01-01 02:19:25.283309,kyc_change
user_0438,85.214.33.12,b9e5aa427662,Germany,0.0,200.35,USD,,,0,1,unusual_time_login,PE_003474,2025-01-01 02:22:44.909675,withdrawal
user_0438,85.214.33.12,b9e5aa427662,Germany,0.0,0.0,USD,,,0,1,unusual_time_login,PE_003473,2025-01-01 02:25:03.000000,logout
user_0130,103.4.121.151,9958fcfb5ed9,Australia,19.5,0.0,USD,success,,15,0,,PE_005487,2025-01-01 08:12:45.000000,login
user_0136,210.171.50.45,ac3b1d86e862,Japan,5.1,0.0,USD,success,,9,0,,PE_014271,2025-01-01 08:12:45.000000,login
user_0074,103.4.139.133,cca7cf94398f,Australia,26.3,0.0,USD,success,,10,0,,PE_012790,2025-01-01 08:13:59.000000,login
user_0333,210.171.115.183,114549f7e6ed,Japan,23.5,0.0,USD,success,,16,0,,PE_016135,2025-01-01 08:16:44.000000,login
user_0136,210.171.50.45,ac3b1d86e862,Japan,0.0,0.0,USD,,,0,0,,PE_014272,2025-01-01 08:17:51.000000,logout
user_0484,81.2.238.249,4a374d8f5e23,UK,33.0,0.0,USD,success,,13,1,collusion_ring|consistent_profit|device_switching,PE_025116,2025-01-01 08:21:48.000000,login
user_0214,103.4.74.216,567c7fea5dc3,Australia,12.3,0.0,USD,success,,13,0,,PE_012410,2025-01-01 08:23:21.000000,login
user_0130,103.4.121.151,9958fcfb5ed9,Australia,0.0,1961.1,USD,,,0,0,,PE_005489,2025-01-01 08:26:22.543078,deposit
user_0484,81.2.238.249,4a374d8f5e23,UK,0.0,672.45,USD,,,0,1,collusion_ring|consistent_profit|device_switching,PE_025119,2025-01-01 08:28:10.673780,withdrawal
user_0130,103.4.121.151,9958fcfb5ed9,Australia,0.0,0.0,USD,,,0,0,,PE_005488,2025-01-01 08:32:15.000000,logout
user_0333,210.171.115.183,114549f7e6ed,Japan,0.0,0.0,USD,,rejected,0,0,,PE_016137,2025-01-01 08:32:57.550465,kyc_change
user_0433,103.21.72.186,9df501244c23,Singapore,12.2,0.0,USD,success,,9,1,structuring,PE_024587,2025-01-01 08:33:17.000000,login
user_0214,103.4.74.216,567c7fea5dc3,Australia,0.0,0.0,USD,,,0,0,,PE_012411,2025-01-01 08:35:39.000000,logout
user_0103,103.4.45.59,deabcf799ccf,Australia,24.5,0.0,USD,success,,17,0,,PE_018292,2025-01-01 08:36:17.000000,login
user_0374,72.34.105.110,b9f613699356,US_East,27.4,0.0,USD,success,,8,0,,PE_024917,2025-01-01 08:38:31.000000,login
user_0333,210.171.115.183,114549f7e6ed,Japan,0.0,0.0,USD,,,0,0,,PE_016136,2025-01-01 08:40:14.000000,logout
user_0074,103.4.139.133,cca7cf94398f,Australia,0.0,0.0,USD,,,0,0,,PE_012791,2025-01-01 08:40:17.000000,logout
user_0374,72.34.105.110,b9f613699356,US_East,0.0,195.45,USD,,,0,0,,PE_024919,2025-01-01 08:40:17.053482,withdrawal
user_0433,103.21.72.186,9df501244c23,Singapore,0.0,0.0,USD,,,0,1,structuring,PE_024588,2025-01-01 08:45:29.000000,logout
user_0256,72.34.221.214,5698d4fd1513,US_East,34.8,0.0,USD,success,,12,0,,PE_019063,2025-01-01 08:46:56.000000,login
user_0484,81.2.238.249,4a374d8f5e23,UK,0.0,697.56,USD,,,0,1,collusion_ring|consistent_profit|device_switching,PE_025118,2025-01-01 08:47:32.877943,deposit
user_0166,64.18.9.52,79eaabc752fa,US_West,1.6,0.0,USD,success,,5,0,,PE_001468,2025-01-01 08:47:43.000000,login
user_0166,64.18.9.52,79eaabc752fa,US_West,0.0,0.0,USD,,,0,0,,PE_001469,2025-01-01 08:49:19.000000,logout
user_0166,64.18.9.52,79eaabc752fa,US_West,0.0,0.0,USD,,,0,0,,PE_001470,2025-01-01 08:49:32.546184,support_ticket
user_0003,64.18.134.248,41c1e698cf34,US_West,6.5,0.0,USD,success,,8,0,,PE_003190,2025-01-01 08:53:35.000000,login
