user_id,login_count,failed_login_count,failed_login_ratio,max_failed_streak,unique_ip_count,unique_device_count,unique_geo_count,ip_change_rate,device_change_rate,unusual_hour_ratio,avg_session_duration,std_session_duration,avg_page_views,page_view_velocity,deposit_count,total_deposit_amt,avg_deposit_amt,std_deposit_amt,small_deposit_ratio,withdrawal_count,total_withdrawal_amt,max_single_withdrawal,net_deposit_flow,kyc_change_count,trade_count,avg_lot_size,std_lot_size,max_lot_size,avg_trade_volume,std_trade_volume,volume_spike_ratio,avg_margin_used,avg_pnl,std_pnl,pnl_win_rate,avg_trade_duration,min_trade_duration,short_trade_ratio,instrument_count,instrument_concentration,direction_imbalance,avg_inter_trade_time,avg_inter_event_time,std_inter_event_time,min_inter_event_time,activity_hour_entropy,dormancy_max_days,total_event_count,deposit_to_trade_ratio,kyc_to_withdrawal_hours
user_0001,20,0,0.0,0,2,1,1,0.10526315789473684,0.0,0.0,13.5,17.438692611546315,10.45,0.774074074074074,4,1984.62,496.155,360.58647912116726,0.75,2,1395.2399999999998,1073.34,589.3800000000001,0,30,0.4119999999999999,0.1492737976560745,0.64,41200.0,14927.379765607448,1.5533980582524272,35.88666666666667,-3.6436666666666673,24.05168413830701,0.36666666666666664,314.7,11.9,0.0,4,0.5666666666666667,0.06666666666666667,241501.72413793104,94177.38157894737,168207.12744746116,2.84223,3.3571629089388146,7.692708333333333,77,0.0016056796116504853,-1.0
user_0002,15,0,0.0,0,2,2,1,0.14285714285714285,0.14285714285714285,0.0,24.84000000000001,28.854134308044433,10.0,0.4025764895330111,1,106.52,106.52,0.0,1.0,1,514.54,514.54,-408.02,2,30,0.2193333333333333,0.06717803873952326,0.36,21933.333333333332,6717.803873952326,1.6413373860182372,30.669999999999998,0.5813333333333335,14.676186546768733,0.5666666666666667,553.4699999999999,4.7,0.03333333333333333,5,0.5,0.06666666666666667,236085.9655172414,107980.69696969698,200462.05243832318,64.104782,3.4787164628285474,11.989641203703703,67,0.00016188449848024316,174.21340163833332
user_0003,24,0,0.0,0,2,3,1,0.08695652173913043,0.13043478260869565,0.0,20.333333333333336,13.756382357129928,9.333333333333334,0.4590163934426229,2,3175.3599999999997,1587.6799999999998,190.89,0.0,3,1087.24,972.4,2088.12,0,26,0.5584615384615385,0.1717263544957569,0.84,55846.153846153844,17172.63544957569,1.5041322314049588,28.446153846153848,8.974230769230768,29.670357931661346,0.5769230769230769,445.19230769230774,12.2,0.0,6,0.4230769230769231,0.0,277393.16,89711.95,126147.629926136,34.048602,3.635953931817726,6.076319444444445,81,0.0021868870523415974,-1.0
user_0004,21,0,0.0,0,2,2,1,0.1,0.05,0.0,16.685714285714287,11.641808308002332,10.380952380952381,0.6221461187214612,2,1660.48,830.24,351.04,0.5,4,1777.1,816.0,-116.61999999999989,3,54,0.52,0.16075055440259214,0.79,52000.0,16075.055440259215,1.5192307692307692,32.74629629629629,0.7377777777777773,23.92227488769555,0.5,520.1407407407407,11.4,0.0,7,0.46296296296296297,0.1111111111111111,132422.94339622642,64985.333333333336,104388.12972369761,3.299632,3.616457429649151,5.582106481481482,109,0.0005913390313390314,0.03627323666666667
user_0005,28,0,0.0,0,3,3,1,0.14814814814814814,0.14814814814814814,0.0,19.90357142857143,15.176779305967417,9.321428571428571,0.46832944554100125,3,7961.28,2653.7599999999998,1389.2763398498753,0.3333333333333333,0,0.0,0.0,7961.28,0,52,0.5651923076923077,0.1964932019240535,0.89,56519.230769230766,19649.320192405354,1.5746852670976523,35.213461538461544,-1.6661538461538465,29.157821298914094,0.5,1071.1903846153848,4.0,0.019230769230769232,6,0.4423076923076923,0.15384615384615385,144568.33333333334,65830.22321428571,112091.7959631032,103.166623,3.638958127094934,7.920474537037037,113,0.002708839741408642,-1.0
user_0006,27,0,0.0,0,1,3,1,0.0,0.23076923076923078,0.0,14.162962962962965,11.109360355895687,10.444444444444445,0.7374476987447698,3,2854.17,951.39,254.97015354742996,0.6666666666666666,0,0.0,0.0,2854.17,0,60,0.23983333333333337,0.07477726184401838,0.35,23983.333333333332,7477.7261844018385,1.4593467685892982,37.67499999999999,-0.2793333333333334,12.724794283427752,0.45,292.47666666666663,6.8,0.0,8,0.2833333333333333,0.16666666666666666,126428.42372881356,62160.64166666667,111097.89793938679,5.363736,3.7047152337686464,8.96181712962963,121,0.001983439888811675,-1.0
user_0007,17,0,0.0,0,2,2,1,0.0625,0.125,0.0,16.905882352941177,14.576349522357232,11.176470588235293,0.6610995128740431,0,0.0,0.0,0.0,0.0,2,700.8199999999999,361.19,-700.8199999999999,0,32,0.05500000000000001,0.019202864369671523,0.08,5500.0,1920.286436967152,1.4545454545454546,35.584374999999994,-0.7578125000000001,2.650323959413971,0.4375,447.890625,12.8,0.0,7,0.3125,0.0625,229877.38709677418,106091.71428571429,213979.46163938034,9.62933,3.6454307480564516,17.43960648148148,71,0.0,-1.0
user_0008,29,0,0.0,0,2,3,1,0.07142857142857142,0.14285714285714285,0.0,11.46896551724138,7.997072888995972,10.206896551724139,0.8899579073962719,3,6922.55,2307.516666666667,1890.2484992425968,0.3333333333333333,2,456.93,354.79,6465.62,2,44,0.38227272727272726,0.12627285817127845,0.59,38227.27272727273,12627.285817127844,1.5434007134363852,33.79318181818182,-3.986136363636364,18.087116486593068,0.4318181818181818,806.9909090909092,1.5,0.045454545454545456,7,0.36363636363636365,0.3181818181818182,175370.46511627908,69182.84403669725,124743.77578474805,25.327224,3.6977898719549156,6.59542824074074,110,0.004115665873959572,137.73759377833332
user_0009,23,0,0.0,0,3,3,1,0.18181818181818182,0.13636363636363635,0.0,16.76521739130435,10.972123122819314,9.869565217391305,0.5886929460580912,2,1016.97,508.485,419.08500000000004,1.0,1,170.74,170.74,846.23,1,56,0.5521428571428572,0.1981766373512194,0.87,55214.28571428572,19817.663735121943,1.575679172056921,28.242857142857144,4.678928571428572,22.979569783254636,0.625,629.3125,7.7,0.0,6,0.30357142857142855,0.03571428571428571,132794.9090909091,68924.43396226416,117793.73167370031,13.0,3.6918905336084826,7.955636574074074,107,0.0003289036222509703,-1.0
user_0010,20,0,0.0,0,3,1,1,0.21052631578947367,0.0,0.0,18.360000000000007,16.665815311589167,9.1,0.4956427015250543,3,1288.01,429.33666666666664,178.47788403297727,1.0,4,2442.36,1029.57,-1154.3500000000001,0,24,0.3154166666666667,0.11154144097847919,0.46,31541.666666666668,11154.144097847917,1.4583883751651254,34.81249999999999,0.012499999999999734,13.854490322033985,0.6666666666666666,1402.3041666666668,1.7,0.041666666666666664,5,0.4583333333333333,0.3333333333333333,212148.52173913043,91589.12328767123,165456.85900483857,34.405034,3.474069363800097,10.168680555555556,74,0.001701466314398943,-1.0
user_0011,14,0,0.0,0,3,2,1,0.23076923076923078,0.15384615384615385,0.0,14.0,9.368945664115191,9.142857142857142,0.6530612244897959,2,2077.72,1038.86,505.23999999999995,0.5,2,1036.03,593.13,1041.6899999999998,1,68,0.5629411764705884,0.19241544226528526,0.87,56294.117647058825,19241.544226528527,1.5454545454545454,38.0529411764706,-5.497941176470589,26.904333652604322,0.38235294117647056,296.03970588235296,5.0,0.0,8,0.3235294117647059,0.23529411764705882,106772.95522388059,71246.56310679612,149543.7204535532,82.569902,3.6834121295506024,12.857060185185185,104,0.0005427690700104493,-1.0
